Dataset_model_name,Type,SN,SP,ACC,MCC,AUPR,AUC
MAMP_pred_unbalance_esm2_t48_15B_UR50D,Classification,0.8838028169014085,0.8596237337192475,0.8637454981992797,0.6318491730651054,0.6108703925937969,0.9262474266729176
MAMP_pred_unbalance_esm2_t48_15B_UR50D,Mean,0.8274647887323944,0.877713458755427,0.8691476590636255,0.6187165580860777,0.6068895717503048,0.9271289822873564
MAMP_pred_unbalance_esm2_t36_3B_UR50D,Classification,0.9330985915492958,0.8603473227206947,0.8727490996398559,0.6682890012732092,0.6041314114447868,0.9266245082652208
MAMP_pred_unbalance_esm2_t36_3B_UR50D,Mean,0.897887323943662,0.8719247467438495,0.8763505402160864,0.6605389851447347,0.6180931590275576,0.9276971525244084
MAMP_pred_unbalance_esm2_t33_650M_UR50D,Classification,0.8204225352112676,0.8704775687409552,0.8619447779111644,0.6021865806521325,0.5727826442376907,0.9145604451601068
MAMP_pred_unbalance_esm2_t33_650M_UR50D,Mean,0.8732394366197183,0.8654124457308249,0.8667466986794717,0.6328529105087674,0.5893381320014962,0.9229657976804388
LSTM_esm2_t48_15B_UR50D,Classification,0.950191570881226,0.9511041009463722,0.9506920415224912,0.9005680509517009,0.986258958768968,0.9884936606355076
LSTM_esm2_t48_15B_UR50D,Mean,0.9367816091954024,0.9526813880126184,0.9455017301038062,0.8899269747260474,0.9877955969097648,0.9893699312278664
LSTM_esm2_t36_3B_UR50D,Classification,0.9252873563218392,0.9700315457413248,0.9498269896193772,0.8989114268626183,0.9865475413949896,0.9876506278932038
LSTM_esm2_t36_3B_UR50D,Mean,0.9272030651340996,0.94794952681388,0.9385813148788928,0.8759271003263241,0.9852678261469412,0.9864812598958144
LSTM_esm2_t33_650M_UR50D,Classification,0.9310344827586208,0.9511041009463722,0.9420415224913494,0.882919274672747,0.9840662548754427,0.9867834221690416
LSTM_esm2_t33_650M_UR50D,Mean,0.9310344827586208,0.9574132492113564,0.9455017301038062,0.8899130889114489,0.9836170378163592,0.9861458597725324
MAMP_pred_balance_esm2_t48_15B_UR50D,Classification,0.943661971830986,0.8125904486251809,0.8349339735894358,0.6115230051031053,0.5986193009744202,0.922094433460386
MAMP_pred_balance_esm2_t48_15B_UR50D,Mean,0.8943661971830986,0.8357452966714906,0.8457382953181273,0.6058577443375641,0.5847570914953105,0.9188038869978192
MAMP_pred_balance_esm2_t36_3B_UR50D,Classification,0.9154929577464788,0.8227206946454414,0.8385354141656662,0.6039951694761211,0.6175777485356246,0.9228333095534133
MAMP_pred_balance_esm2_t36_3B_UR50D,Mean,0.943661971830986,0.8125904486251809,0.8349339735894358,0.6115230051031053,0.5859876286900753,0.9188446525753654
MAMP_pred_balance_esm2_t33_650M_UR50D,Classification,0.9014084507042254,0.8198263386396527,0.8337334933973589,0.5901033222703888,0.5561998659967345,0.9075589572165264
MAMP_pred_balance_esm2_t33_650M_UR50D,Mean,0.9225352112676056,0.8162083936324168,0.8343337334933973,0.6008044696130599,0.5581732317664576,0.9137846252624284
ABP_esm2_t48_15B_UR50D,Classification,0.9233038348082596,0.968141592920354,0.9457227138643068,0.8923428730276639,0.986182240322144,0.982310978846338
ABP_esm2_t48_15B_UR50D,Mean,0.9203539823008848,0.9634218289085544,0.9418879056047198,0.8845965842905319,0.9857432502215094,0.9811745459924646
ABP_esm2_t36_3B_UR50D,Classification,0.9244837758112094,0.9551622418879055,0.9398230088495576,0.8800602575892467,0.9838813760782592,0.9797735835922068
ABP_esm2_t36_3B_UR50D,Mean,0.9174041297935104,0.959882005899705,0.9386430678466076,0.8780786827648508,0.9845833377855496,0.9804766752812802
ABP_esm2_t33_650M_UR50D,Classification,0.91976401179941,0.9533923303834808,0.9365781710914456,0.8736504717716294,0.9832089931395877,0.9782869971545672
ABP_esm2_t33_650M_UR50D,Mean,0.9238938053097344,0.9657817109144544,0.9448377581120944,0.8904570556734926,0.9847044681872642,0.9796806501857798
AFP_esm2_t48_15B_UR50D,Classification,0.9488372093023256,0.9534883720930232,0.9511627906976744,0.9023353417006154,0.9915832808239048,0.990935640886966
AFP_esm2_t48_15B_UR50D,Mean,0.9255813953488372,0.958139534883721,0.9418604651162792,0.8841896893718038,0.98975814296877,0.9882314764737696
AFP_esm2_t36_3B_UR50D,Classification,0.9069767441860463,0.9627906976744186,0.9348837209302324,0.8711253639704274,0.9860427237469084,0.9841644131963224
AFP_esm2_t36_3B_UR50D,Mean,0.8837209302325582,0.9627906976744186,0.9232558139534884,0.8491703082830457,0.9831722680292104,0.9814818820984316
AFP_esm2_t33_650M_UR50D,Classification,0.9348837209302324,0.9534883720930232,0.944186046511628,0.8885258804163579,0.9886482729481272,0.987604110329908
AFP_esm2_t33_650M_UR50D,Mean,0.916279069767442,0.9627906976744186,0.9395348837209302,0.8800221726696685,0.9857080949893904,0.9836452136289888
AMP_esm2_t48_15B_UR50D,Classification,0.8814352574102964,0.9398672393596252,0.9106341463414634,0.822684947303117,0.9733741299085752,0.9665559718835453
AMP_esm2_t48_15B_UR50D,Mean,0.87402496099844,0.949238578680203,0.911609756097561,0.8255719651272003,0.9721258810602637,0.9647230051638616
AMP_esm2_t36_3B_UR50D,Classification,0.87402496099844,0.929324482623975,0.901658536585366,0.8045595693242505,0.966517915371322,0.95875170032182
AMP_esm2_t36_3B_UR50D,Mean,0.8677847113884556,0.9379148770011714,0.902829268292683,0.8076613454835274,0.9676159525512612,0.9593798980385612
AMP_esm2_t33_650M_UR50D,Classification,0.8673946957878315,0.927762592737212,0.8975609756097561,0.7965876352805117,0.9642976579504974,0.9559862597549588
AMP_esm2_t33_650M_UR50D,Mean,0.8642745709828393,0.932448262397501,0.8983414634146342,0.7985552001002189,0.965509626414996,0.9558463049181865
AVP_esm2_t48_15B_UR50D,Classification,0.812199036918138,0.8860353130016051,0.8491171749598716,0.700145483312521,0.9355771117935814,0.9218739130546802
AVP_esm2_t48_15B_UR50D,Mean,0.8330658105939005,0.8683788121990369,0.8507223113964687,0.7018823858130049,0.9384984504552566,0.9240304125690172
AVP_esm2_t36_3B_UR50D,Classification,0.8105939004815409,0.8715890850722311,0.841091492776886,0.6834555385413965,0.9222596020759294,0.9078631073689418
AVP_esm2_t36_3B_UR50D,Mean,0.8250401284109149,0.8603531300160514,0.8426966292134831,0.6858210039866204,0.9301588093567232,0.9179370776211002
AVP_esm2_t33_650M_UR50D,Classification,0.7865168539325843,0.8539325842696629,0.8202247191011236,0.6419098011177928,0.9120662317124296,0.8984100646949854
AVP_esm2_t33_650M_UR50D,Mean,0.7897271268057785,0.8651685393258427,0.8274478330658106,0.6567672978933174,0.9172087324980388,0.90977999582613
Nishant_AVP_esm2_t48_15B_UR50D,Classification,0.85,0.7777777777777778,0.819047619047619,0.6296461681524403,0.9303533798235062,0.8955555555555557
Nishant_AVP_esm2_t48_15B_UR50D,Mean,0.8833333333333333,0.7555555555555555,0.8285714285714286,0.648075049917217,0.9277768352554772,0.8944444444444445
Nishant_AVP_esm2_t36_3B_UR50D,Classification,0.85,0.7333333333333333,0.8,0.5892556509887895,0.9089393862613532,0.8648148148148148
Nishant_AVP_esm2_t36_3B_UR50D,Mean,0.8833333333333333,0.7333333333333333,0.819047619047619,0.6284137539502507,0.9123018700785775,0.8870370370370371
Nishant_AVP_esm2_t33_650M_UR50D,Classification,0.8666666666666667,0.7333333333333333,0.8095238095238095,0.6086270034005168,0.9281892824309624,0.8803703703703702
Nishant_AVP_esm2_t33_650M_UR50D,Mean,0.85,0.7333333333333333,0.8,0.5892556509887895,0.9298719802938468,0.8948148148148147
Nishant_AVP+_esm2_t48_15B_UR50D,Classification,0.9333333333333332,0.9,0.9166666666666666,0.8337966824563376,0.978596907278846,0.9747222222222224
Nishant_AVP+_esm2_t48_15B_UR50D,Mean,0.9333333333333332,0.8666666666666667,0.9,0.8017837257372731,0.9828233721929722,0.9786111111111112
Nishant_AVP+_esm2_t36_3B_UR50D,Classification,0.9166666666666666,0.8666666666666667,0.8916666666666667,0.7843143397707556,0.96275039598381,0.9569444444444444
Nishant_AVP+_esm2_t36_3B_UR50D,Mean,0.9,0.9166666666666666,0.9083333333333332,0.8167801162284651,0.96897798338581,0.9625
Nishant_AVP+_esm2_t33_650M_UR50D,Classification,0.9,0.8,0.85,0.7035264706814485,0.971792931417462,0.9616666666666666
Nishant_AVP+_esm2_t33_650M_UR50D,Mean,0.9166666666666666,0.8666666666666667,0.8916666666666667,0.7843143397707556,0.9705719792731456,0.9616666666666668
Veltri_ABP_esm2_t48_15B_UR50D,Classification,0.9171348314606742,0.9662921348314608,0.9417134831460674,0.8844962789695664,0.9861418654343362,0.9836372459285444
Veltri_ABP_esm2_t48_15B_UR50D,Mean,0.9087078651685392,0.9676966292134832,0.9382022471910112,0.8779332864052263,0.9871931602705116,0.9847497948491352
Veltri_ABP_esm2_t36_3B_UR50D,Classification,0.9058988764044944,0.9676966292134832,0.9367977528089888,0.8752684128528279,0.9818538239593828,0.9771296237848756
Veltri_ABP_esm2_t36_3B_UR50D,Mean,0.9101123595505618,0.9648876404494382,0.9375,0.8763156061686038,0.98505578636494,0.9823274365610402
Veltri_ABP_esm2_t33_650M_UR50D,Classification,0.898876404494382,0.952247191011236,0.925561797752809,0.8523383789119038,0.9833517391173467,0.9807375173589196
Veltri_ABP_esm2_t33_650M_UR50D,Mean,0.8862359550561798,0.9606741573033708,0.9234550561797752,0.8492662925963956,0.9837353242687806,0.9812503945208938
Li_AVP_esm2_t48_15B_UR50D,Classification,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.4593340031782376,0.9620488232159798,0.8622448979591837
Li_AVP_esm2_t48_15B_UR50D,Mean,0.7571428571428571,0.7428571428571429,0.7542857142857143,0.4213504858001922,0.9552790380367984,0.8314285714285714
Li_AVP_esm2_t36_3B_UR50D,Classification,0.8142857142857143,0.6857142857142857,0.7885714285714286,0.4427188724235731,0.9585376050313644,0.8467346938775511
Li_AVP_esm2_t36_3B_UR50D,Mean,0.8142857142857143,0.7142857142857143,0.7942857142857143,0.4652707957157675,0.9578407654249256,0.8483673469387755
Li_AVP_esm2_t33_650M_UR50D,Classification,0.8071428571428572,0.8,0.8057142857142857,0.5231388366621641,0.961261579630538,0.8493877551020408
Li_AVP_esm2_t33_650M_UR50D,Mean,0.7785714285714286,0.7142857142857143,0.7657142857142857,0.4226215133868967,0.9586169471202406,0.8477551020408163
Yan_Deep_AMP_esm2_t48_15B_UR50D,Classification,0.7659574468085106,0.8191489361702128,0.7925531914893617,0.5859358744255436,0.8918835208715664,0.8812811226799457
Yan_Deep_AMP_esm2_t48_15B_UR50D,Mean,0.776595744680851,0.851063829787234,0.8138297872340425,0.6294071881098059,0.910119260568568,0.8997283838841105
Yan_Deep_AMP_esm2_t36_3B_UR50D,Classification,0.7659574468085106,0.8085106382978723,0.7872340425531915,0.5749889084999459,0.881346121601161,0.8600045269352649
Yan_Deep_AMP_esm2_t36_3B_UR50D,Mean,0.776595744680851,0.8191489361702128,0.7978723404255319,0.5962847939999438,0.9023803428558814,0.8929379809868717
Yan_Deep_AMP_esm2_t33_650M_UR50D,Classification,0.7340425531914894,0.7872340425531915,0.7606382978723404,0.5220155972154844,0.8671026503971517,0.8558171118153011
Yan_Deep_AMP_esm2_t33_650M_UR50D,Mean,0.776595744680851,0.8297872340425532,0.8031914893617021,0.6072426334955634,0.8852327155479136,0.8812811226799457
Sharma_ABP_esm2_t48_15B_UR50D,Classification,0.965646004480956,0.9648215209518882,0.965158924205379,0.9282138187213732,0.992207356710103,0.9945814441065548
Sharma_ABP_esm2_t48_15B_UR50D,Mean,0.9713716704007966,0.9587859975857906,0.9639364303178484,0.9260799735274928,0.9920562488024758,0.9943010784953736
Sharma_ABP_esm2_t36_3B_UR50D,Classification,0.9566840926064228,0.9432660803586824,0.948757131214344,0.8951179837366915,0.9827056225911976,0.9879869925123794
Sharma_ABP_esm2_t36_3B_UR50D,Mean,0.9614139905402042,0.9451629591308848,0.9518133659331705,0.9014850103098264,0.9880010967551094,0.99128492662865
Sharma_ABP_esm2_t33_650M_UR50D,Classification,0.9611650485436892,0.951370926021728,0.9553789731051344,0.9084763088460668,0.985748999687914,0.991001384313254
Sharma_ABP_esm2_t33_650M_UR50D,Mean,0.965646004480956,0.9486118296257976,0.9555827220863896,0.909207219866812,0.9888049644937756,0.9921339222942948
Sharma_AFP_esm2_t48_15B_UR50D,Classification,0.9108049311094996,0.917331399564902,0.9140681653372008,0.8281539683846147,0.9757830514960452,0.9702551638295556
Sharma_AFP_esm2_t48_15B_UR50D,Mean,0.9144307469180566,0.9253081943437274,0.919869470630892,0.8397886241488072,0.9783298395812922,0.974672401362823
Sharma_AFP_esm2_t36_3B_UR50D,Classification,0.8948513415518492,0.9013778100072516,0.8981145757795505,0.7962461097077994,0.9691922881422296,0.9627963427376672
Sharma_AFP_esm2_t36_3B_UR50D,Mean,0.9122552574329224,0.90572878897752,0.9089920232052212,0.8180014678965372,0.9735846278270028,0.968554527379248
Sharma_AFP_esm2_t33_650M_UR50D,Classification,0.8970268310369833,0.8948513415518492,0.8959390862944162,0.7918800464779764,0.9694748009087388,0.9643050396999222
Sharma_AFP_esm2_t33_650M_UR50D,Mean,0.902102973168963,0.9013778100072516,0.9017403915881074,0.8034809944361475,0.9731397618152626,0.9679534675577568
Sharma_AMP_esm2_t48_15B_UR50D,Classification,0.9756373937677054,0.9860235681008496,0.9809165621952918,0.9618622269856112,0.9975128665882358,0.9972630943166548
Sharma_AMP_esm2_t48_15B_UR50D,Mean,0.9756373937677054,0.9802685667306112,0.9779913636996796,0.9559750581629548,0.9973972418028844,0.9970162961329776
Sharma_AMP_esm2_t36_3B_UR50D,Classification,0.9671388101983004,0.9813647574677994,0.9743696893717788,0.948798838717958,0.996645952882539,0.9963788441398436
Sharma_AMP_esm2_t36_3B_UR50D,Mean,0.969971671388102,0.979994519046314,0.9750661652040674,0.95015120843119,0.9966418466457996,0.9962457796268448
Sharma_AMP_esm2_t33_650M_UR50D,Classification,0.9677053824362606,0.9780761852562346,0.9729767377072016,0.9459726032439996,0.9965225853883364,0.9963558645039932
Sharma_AMP_esm2_t33_650M_UR50D,Mean,0.964872521246459,0.9788983283091258,0.9720016715419976,0.9440568003348804,0.9962233936932516,0.995969325291496
Sharma_AVP_esm2_t48_15B_UR50D,Classification,0.9070904645476772,0.8948655256723717,0.9009779951100244,0.8020159227505017,0.9699408676181096,0.9683048284025084
Sharma_AVP_esm2_t48_15B_UR50D,Mean,0.902200488997555,0.9144254278728606,0.908312958435208,0.8166869457276451,0.9707479001639382,0.9681045665676316
Sharma_AVP_esm2_t36_3B_UR50D,Classification,0.8740831295843521,0.8753056234718827,0.8746943765281173,0.7493893130343502,0.9606454372642832,0.957710379541012
