Dataset_model_name,Type,SN,SP,ACC,MCC,AUPR,AUC
Sharma_AVP_esm2_t36_3B_UR50D,Mean,0.8948655256723717,0.8789731051344744,0.886919315403423,0.7739363731586478,0.9655135189846362,0.96353441215679
Sharma_AVP_esm2_t33_650M_UR50D,Classification,0.89119804400978,0.8679706601466992,0.8795843520782396,0.7593735771291301,0.958351533327204,0.9553206879442376
Sharma_AVP_esm2_t33_650M_UR50D,Mean,0.882640586797066,0.8924205378973105,0.8875305623471883,0.7750981936611373,0.9597528109246684,0.9567180373144588
LMPred_esm2_t48_15B_UR50D,Classification,0.8802395209580839,0.9102393617021276,0.8952444296641171,0.7908410607720726,0.9609178684729964,0.9562563702382468
LMPred_esm2_t48_15B_UR50D,Mean,0.8862275449101796,0.9049202127659576,0.8955769870302627,0.7912898903217452,0.9609757361031548,0.9565372800498294
LMPred_esm2_t36_3B_UR50D,Classification,0.865602129075183,0.886968085106383,0.8762886597938144,0.7527460576836418,0.9505752250480896,0.9471495838111011
LMPred_esm2_t36_3B_UR50D,Mean,0.8749168330006654,0.8976063829787234,0.8862653807781843,0.7727266357681959,0.955658013358882,0.9504687433643352
LMPred_esm2_t33_650M_UR50D,Classification,0.8662674650698603,0.8969414893617021,0.881609577652145,0.7635741907840837,0.9460018276942944,0.9460830112823998
LMPred_esm2_t33_650M_UR50D,Mean,0.8695941450432468,0.894281914893617,0.8819421350182907,0.7641137297682856,0.9478032161609452,0.947596827621353
iAMP_balance_esm2_t48_15B_UR50D,Classification,0.992391304347826,0.8956521739130435,0.9440217391304347,0.8922282328161542,0.9923950025918388,0.992523629489603
iAMP_balance_esm2_t48_15B_UR50D,Mean,0.9934782608695653,0.9163043478260868,0.954891304347826,0.9125040183798948,0.9899188997183096,0.991781663516068
iAMP_balance_esm2_t36_3B_UR50D,Classification,0.9858695652173912,0.9010869565217392,0.9434782608695652,0.8901615727537948,0.99114119129816,0.9917474007561436
iAMP_balance_esm2_t36_3B_UR50D,Mean,0.991304347826087,0.908695652173913,0.95,0.9030866956471926,0.9874865846202028,0.9886554820415878
iAMP_balance_esm2_t33_650M_UR50D,Classification,0.9836956521739132,0.9228260869565216,0.9532608695652174,0.9082057989376878,0.995291818289302,0.9951925803402646
iAMP_balance_esm2_t33_650M_UR50D,Mean,0.982608695652174,0.9271739130434784,0.954891304347826,0.9111837266238456,0.9906599735325696,0.9918336483931948
iAMP_unbalance_esm2_t48_15B_UR50D,Classification,0.9728260869565216,0.9282608695652174,0.9505434782608696,0.9019830973341928,0.99160076694598,0.9918218336483932
iAMP_unbalance_esm2_t48_15B_UR50D,Mean,0.9836956521739132,0.9260869565217392,0.954891304347826,0.9112960527000756,0.9878278338467666,0.9903130907372402
iAMP_unbalance_esm2_t36_3B_UR50D,Classification,0.9532608695652174,0.942391304347826,0.9478260869565216,0.8957050881111762,0.9927715668844984,0.9928213610586012
iAMP_unbalance_esm2_t36_3B_UR50D,Mean,0.9717391304347828,0.9402173913043478,0.9559782608695652,0.9124099287896744,0.9922456191086386,0.9922081758034026
iAMP_unbalance_esm2_t33_650M_UR50D,Classification,0.9369565217391304,0.9760869565217392,0.9565217391304348,0.9137433039831976,0.9942979392760382,0.9939035916824196
iAMP_unbalance_esm2_t33_650M_UR50D,Mean,0.9434782608695652,0.9782608695652174,0.9608695652173912,0.9222972106375428,0.9949386944884095,0.9946644612476372
AmPEP_esm2_t33_650M_UR50D,Classification,0.9776570218772054,0.958691131498471,0.9681740766878384,0.936623280165373,0.9895886509098446,0.992424984059267
AmPEP_esm2_t33_650M_UR50D,Mean,0.974608327452364,0.95838155728064,0.966494942366502,0.9332959093515678,0.9893197964569336,0.9915708231812947
AmPEP_esm2_t36_3B_UR50D,Classification,0.9785819807104212,0.9666403199247234,0.9726111503175724,0.9453885339131748,0.9903704478182656,0.99347192312811
AmPEP_esm2_t36_3B_UR50D,Mean,0.9770548106327922,0.9611263232180663,0.9690905669254294,0.9384056889316412,0.9914482636667314,0.9930489125378278
AmPEP_esm2_t48_15B_UR50D,Classification,0.9779665960950364,0.966336391437309,0.9721514937661728,0.9444334255760092,0.9909980323703638,0.9938142063253718
AmPEP_esm2_t48_15B_UR50D,Mean,0.9794975299929428,0.9638842625264644,0.9716908962597036,0.9435879863653758,0.9913413120567685,0.9935565356362938
GD_esm2_t33_650M_UR50D,Classification,0.9682162621337356,0.95591524426133,0.9620656419325856,0.9242036877030996,0.9862928873988196,0.9893949975948948
GD_esm2_t33_650M_UR50D,Mean,0.9690417149215153,0.9564449676280166,0.962742753280646,0.9255724386285208,0.9871512338510046,0.9895956238314784
GD_esm2_t36_3B_UR50D,Classification,0.97274882609104,0.9587992937021778,0.9657740305645846,0.9316408855519318,0.9863794443982596,0.9901772932688582
GD_esm2_t36_3B_UR50D,Mean,0.9718659361908836,0.9603296056503826,0.9660976637901756,0.93226172935581,0.9884059196202702,0.9908434458069604
GD_esm2_t48_15B_UR50D,Classification,0.9752206436016508,0.9605061801059446,0.9678636076656784,0.9358329364407816,0.9897485042252946,0.9918960486714116
GD_esm2_t48_15B_UR50D,Mean,0.9716904186425496,0.9615656268393172,0.9666276297050612,0.9333146439138622,0.9886067998316233,0.99125131546709
Veltri_ABP_esm2_t48_15B_UR50D,Weight,0.9115168539325844,0.9536516853932584,0.9325842696629212,0.8659375493176862,0.9861626465663128,0.9835445335184952
Veltri_ABP_esm2_t36_3B_UR50D,Weight,0.9115168539325844,0.9550561797752808,0.9332865168539326,0.8673955728473434,0.9834637023392848,0.9798301193031184
Veltri_ABP_esm2_t33_650M_UR50D,Weight,0.9087078651685392,0.9592696629213484,0.9339887640449438,0.8690891502126283,0.981915954860028,0.978579488069688
Sharma_AMP_esm2_t48_15B_UR50D,Weight,0.964872521246459,0.9871197588380378,0.9761805265357292,0.9525504719393318,0.9965186656822984,0.9962071179422048
Sharma_AMP_esm2_t36_3B_UR50D,Weight,0.9660056657223796,0.9802685667306112,0.973255328040117,0.9465688095083522,0.9961189328693828,0.9957848671334536
Sharma_AMP_esm2_t33_650M_UR50D,Weight,0.9645892351274789,0.979994519046314,0.9724195570413706,0.9449099559222408,0.9960594391679682,0.995881521345054
iAMP_unbalance_esm2_t48_15B_UR50D,Weight,0.9641304347826088,0.9358695652173912,0.95,0.9003596199662841,0.9947038789036432,0.9942863894139888
iAMP_unbalance_esm2_t36_3B_UR50D,Weight,0.9293478260869564,0.9728260869565216,0.9510869565217392,0.9030278402701823,0.9942417452815212,0.9940418241965971
iAMP_unbalance_esm2_t33_650M_UR50D,Weight,0.9228260869565216,0.9543478260869566,0.9385869565217392,0.8776100268572911,0.9921705502618337,0.9915890831758034
MAMP_pred_unbalance_esm2_t48_15B_UR50D,Weight,0.8697183098591549,0.8639652677279306,0.8649459783913566,0.6281282623778667,0.619390825141103,0.9246715823158924
MAMP_pred_unbalance_esm2_t36_3B_UR50D,Weight,0.908450704225352,0.8661360347322721,0.8733493397358943,0.6592773529952947,0.6085976530438076,0.930610617394672
MAMP_pred_unbalance_esm2_t33_650M_UR50D,Weight,0.8873239436619719,0.8654124457308249,0.8691476590636255,0.6430131645854787,0.593529585280668,0.9274156152544792
Yan_Deep_AMP_esm2_t48_15B_UR50D,Weight,0.7553191489361702,0.8297872340425532,0.7925531914893617,0.5867355143396497,0.9026780450358112,0.8850158442734269
Yan_Deep_AMP_esm2_t36_3B_UR50D,Weight,0.7978723404255319,0.8404255319148937,0.8191489361702128,0.6388765649999398,0.9102167942971036,0.900181077410593
Yan_Deep_AMP_esm2_t33_650M_UR50D,Weight,0.7659574468085106,0.8085106382978723,0.7872340425531915,0.5749889084999459,0.8888645550595858,0.8779990946129471
AMP_esm2_t48_15B_UR50D,Weight,0.8790951638065523,0.9422100741897697,0.9106341463414634,0.8229208577072501,0.9711388656172268,0.9628551639527512
AMP_esm2_t36_3B_UR50D,Weight,0.8342433697347894,0.941429129246388,0.8878048780487805,0.7801285720199739,0.9602672439951512,0.949664687095098
AMP_esm2_t33_650M_UR50D,Weight,0.8237129485179407,0.938305349472862,0.8809756097560976,0.7670315266332935,0.9570407196573728,0.9446701725937058
Li_AVP_esm2_t48_15B_UR50D,Weight,0.8285714285714286,0.7428571428571429,0.8114285714285714,0.5059644256269407,0.9584486066696336,0.8565306122448979
Li_AVP_esm2_t36_3B_UR50D,Weight,0.95,0.5142857142857142,0.8628571428571429,0.530722777603022,0.9530002944472514,0.8483673469387756
Li_AVP_esm2_t33_650M_UR50D,Weight,0.9357142857142856,0.5428571428571428,0.8571428571428571,0.5221642373504104,0.9567860491986974,0.8524489795918367
ABP_esm2_t48_15B_UR50D,Weight,0.9292035398230089,0.967551622418879,0.948377581120944,0.8974152634357222,0.98508817866089,0.9804721504337762
ABP_esm2_t36_3B_UR50D,Weight,0.8973451327433628,0.9663716814159292,0.931858407079646,0.8657818569105299,0.9810386780354922,0.975790673593164
ABP_esm2_t33_650M_UR50D,Weight,0.896165191740413,0.9610619469026548,0.928613569321534,0.859038004743594,0.9802450018456288,0.9739426214529984
Nishant_AVP+_esm2_t48_15B_UR50D,Weight,0.9666666666666668,0.8833333333333333,0.925,0.8529668502072325,0.9798163995574312,0.9733333333333332
Nishant_AVP+_esm2_t36_3B_UR50D,Weight,0.9,0.8833333333333333,0.8916666666666667,0.7834421523007727,0.9692891462241946,0.9619444444444444
Nishant_AVP+_esm2_t33_650M_UR50D,Weight,0.8666666666666667,0.8,0.8333333333333334,0.6681531047810609,0.9565009651856142,0.9469444444444444
LSTM_esm2_t48_15B_UR50D,Weight,0.9348659003831418,0.9574132492113564,0.9472318339100346,0.8934042124334669,0.9862518974821322,0.9869465897965845
LSTM_esm2_t36_3B_UR50D,Weight,0.9176245210727968,0.9621451104100948,0.9420415224913494,0.883096704093745,0.9851817766972196,0.9865296058595308
LSTM_esm2_t33_650M_UR50D,Weight,0.9272030651340996,0.9684542586750788,0.9498269896193772,0.898840630782059,0.9845615375943784,0.9863694598547204
LMPred_esm2_t48_15B_UR50D,Weight,0.8569527611443779,0.9035904255319148,0.8802793481875624,0.7613806394288505,0.950015012903792,0.94621130080265
LMPred_esm2_t36_3B_UR50D,Weight,0.8835662009314704,0.894281914893617,0.8889258397073495,0.7778949180059618,0.9538985365282652,0.9534941641539616
LMPred_esm2_t33_650M_UR50D,Weight,0.8762475049900199,0.8956117021276596,0.8859328234120386,0.7720077821765299,0.9456648261129288,0.9451933898161125
Sharma_ABP_esm2_t48_15B_UR50D,Weight,0.9733632063729152,0.9636144162786688,0.96760391198044,0.9334875234550484,0.9924403246213036,0.9944982702630908
Sharma_ABP_esm2_t36_3B_UR50D,Weight,0.9658949464774708,0.9558544576651148,0.959963325183374,0.9178588566179092,0.9894862649769642,0.9923750083871432
Sharma_ABP_esm2_t33_650M_UR50D,Weight,0.9688822504356484,0.959130884635282,0.963121434392828,0.9243097579864112,0.9906987840336844,0.9930816318969952
iAMP_balance_esm2_t48_15B_UR50D,Weight,0.9880434782608696,0.8989130434782608,0.9434782608695652,0.8905007481566329,0.9964857332389762,0.9963114366729678
iAMP_balance_esm2_t36_3B_UR50D,Weight,0.9804347826086957,0.907608695652174,0.9440217391304347,0.8904078181187103,0.9945018208704322,0.9939933837429112
iAMP_balance_esm2_t33_650M_UR50D,Weight,0.9717391304347828,0.9021739130434784,0.9369565217391304,0.8760353215819671,0.99417049840592,0.9935349716446124
Sharma_AVP_esm2_t48_15B_UR50D,Weight,0.8814180929095354,0.8875305623471883,0.8844743276283619,0.768963020497755,0.9601969331077692,0.95795547611504
Sharma_AVP_esm2_t36_3B_UR50D,Weight,0.8850855745721271,0.8728606356968215,0.8789731051344744,0.7580028538190717,0.9572694547161787,0.9562891183099096
Sharma_AVP_esm2_t33_650M_UR50D,Weight,0.8704156479217604,0.8863080684596577,0.878361858190709,0.7568192969750442,0.95277059359777,0.9524363197254918
Nishant_AVP_esm2_t48_15B_UR50D,Weight,0.8833333333333333,0.7555555555555555,0.8285714285714286,0.648075049917217,0.9465572500396412,0.9174074074074072
Nishant_AVP_esm2_t36_3B_UR50D,Weight,0.8666666666666667,0.7111111111111111,0.8,0.5887840577551898,0.9085474885381948,0.8751851851851851
Nishant_AVP_esm2_t33_650M_UR50D,Weight,0.8666666666666667,0.5777777777777777,0.7428571428571429,0.4700355771641709,0.9180731509715846,0.8725925925925926
AFP_esm2_t48_15B_UR50D,Weight,0.944186046511628,0.958139534883721,0.9511627906976744,0.9024134355465964,0.991098679512354,0.9888588426176312
AFP_esm2_t36_3B_UR50D,Weight,0.8930232558139535,0.9674418604651164,0.9302325581395348,0.8628577421666626,0.9836696673603044,0.981352082206598
AFP_esm2_t33_650M_UR50D,Weight,0.8790697674418605,0.972093023255814,0.9255813953488372,0.8548695596367046,0.9844594548962864,0.9824337479718768
Sharma_AFP_esm2_t48_15B_UR50D,Weight,0.9071791153009428,0.9253081943437274,0.916243654822335,0.8326241474751301,0.9747432730276264,0.9711522837380978
Sharma_AFP_esm2_t36_3B_UR50D,Weight,0.8861493836113126,0.9086294416243654,0.897389412617839,0.794979723317344,0.9638119283969122,0.9573857526210258
Sharma_AFP_esm2_t33_650M_UR50D,Weight,0.8977519941986947,0.911530094271211,0.9046410442349528,0.8093589148625023,0.9669765100772684,0.9583817345124552
AVP_esm2_t48_15B_UR50D,Weight,0.7592295345104334,0.8972712680577849,0.8282504012841091,0.6628466222970713,0.9162679749766162,0.8987192402525963
AVP_esm2_t36_3B_UR50D,Weight,0.5987158908507223,0.9261637239165328,0.7624398073836276,0.5555050180356973,0.8715558651742271,0.8527190702060397
AVP_esm2_t33_650M_UR50D,Weight,0.5858747993579454,0.9309791332263242,0.7584269662921348,0.5506856769280799,0.8672630422981238,0.847277580392086
MAMP_pred_balance_esm2_t48_15B_UR50D,Weight,0.9154929577464788,0.821273516642547,0.8373349339735895,0.6021398215440035,0.5784728914335967,0.9159018874462403
MAMP_pred_balance_esm2_t36_3B_UR50D,Weight,0.9190140845070424,0.8219971056439942,0.8385354141656662,0.6056089158639664,0.5884220754460041,0.9221390208108272
MAMP_pred_balance_esm2_t33_650M_UR50D,Weight,0.9049295774647887,0.8422575976845152,0.8529411764705882,0.622357481930683,0.5704211918424441,0.916154124457308
AmPEP_esm2_t33_650M_UR50D,Weight,0.97643566219713,0.9599106092684074,0.9681731357327688,0.9365560372468126,0.989872522639877,0.9921060000693928
AmPEP_esm2_t36_3B_UR50D,Weight,0.9755201129146084,0.9598993178075746,0.9677097153610916,0.935610515104032,0.9909594277321528,0.9924270507693512
AmPEP_esm2_t48_15B_UR50D,Weight,0.9761279698894376,0.9644958833215714,0.9703119266055046,0.9407563642465616,0.9907082510084592,0.9926512216915933
GD_esm2_t33_650M_UR50D,Weight,0.9699241887404806,0.955797527957622,0.9628606991816498,0.925816091544828,0.9875208362089838,0.9899032665907204
GD_esm2_t36_3B_UR50D,Weight,0.9703351560289256,0.9587404355503236,0.9645379010256836,0.9291421301107836,0.987497340116521,0.9901496887365936
GD_esm2_t48_15B_UR50D,Weight,0.9679221101498042,0.9603884638022366,0.9641551757518216,0.9283436007981776,0.9872609507752524,0.9902535191985616
